Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,-0.00
188002,-0.13
188003,-0.13
188004,-0.05
188005,-0.07
188006,-0.17
188007,-0.16
188008,-0.07
188009,-0.08
188010,-0.18
188011,-0.27
188012,-0.08
188101,-0.02
188102,-0.03
188103,0.03
188104,0.07
188105,0.03
188106,-0.10
188107,-0.04
188108,-0.04
188109,-0.17
188110,-0.23
188111,-0.22
188112,-0.05
188201,0.08
188202,0.03
188203,0.07
188204,-0.12
188205,-0.15
188206,-0.14
188207,-0.07
188208,-0.01
188209,0.00
188210,-0.22
188211,-0.13
188212,-0.17
188301,-0.27
188302,-0.29
188303,-0.14
188304,-0.18
188305,-0.15
188306,-0.01
188307,-0.09
188308,-0.05
188309,-0.15
188310,-0.16
188311,-0.17
188312,-0.08
188401,-0.19
188402,-0.15
188403,-0.21
188404,-0.18
188405,-0.13
188406,-0.20
188407,-0.30
188408,-0.27
188409,-0.23
188410,-0.17
188411,-0.28
188412,-0.15
188501,-0.43
188502,-0.26
188503,-0.15
188504,-0.26
188505,-0.28
188506,-0.31
188507,-0.24
188508,-0.24
188509,-0.20
188510,-0.13
188511,-0.13
188512,0.04
188601,-0.11
188602,-0.28
188603,-0.28
188604,-0.17
188605,-0.16
188606,-0.24
188607,-0.16
188608,-0.21
188609,-0.19
188610,-0.23
188611,-0.20
188612,-0.16
188701,-0.39
188702,-0.38
188703,-0.16
188704,-0.19
188705,-0.23
188706,-0.21
188707,-0.27
188708,-0.31
188709,-0.18
188710,-0.29
188711,-0.16
188712,-0.19
188801,-0.39
188802,-0.33
188803,-0.30
188804,-0.18
188805,-0.15
188806,-0.09
188807,-0.12
188808,-0.16
188809,-0.07
188810,0.02
188811,-0.04
188812,0.04
188901,-0.10
188902,0.01
188903,0.12
188904,0.05
188905,-0.03
188906,-0.07
188907,-0.16
188908,-0.14
188909,-0.23
188910,-0.19
188911,-0.27
188912,-0.18
189001,-0.36
189002,-0.43
189003,-0.31
189004,-0.26
189005,-0.38
189006,-0.28
189007,-0.28
189008,-0.32
189009,-0.35
189010,-0.29
189011,-0.34
189012,-0.23
189101,-0.37
189102,-0.52
189103,-0.20
189104,-0.24
189105,-0.14
189106,-0.19
189107,-0.21
189108,-0.22
189109,-0.14
189110,-0.27
189111,-0.38
189112,-0.04
189201,-0.23
189202,-0.13
189203,-0.30
189204,-0.31
189205,-0.29
189206,-0.28
189207,-0.34
189208,-0.33
189209,-0.22
189210,-0.24
189211,-0.46
189212,-0.46
189301,-0.67
189302,-0.61
189303,-0.21
189304,-0.34
189305,-0.33
189306,-0.24
189307,-0.19
189308,-0.31
189309,-0.25
189310,-0.19
189311,-0.15
189312,-0.23
189401,-0.43
189402,-0.21
189403,-0.20
189404,-0.30
189405,-0.29
189406,-0.34
189407,-0.27
189408,-0.26
189409,-0.24
189410,-0.20
189411,-0.29
189412,-0.23
189501,-0.43
189502,-0.40
189503,-0.27
189504,-0.17
189505,-0.20
189506,-0.29
189507,-0.19
189508,-0.21
189509,-0.12
189510,-0.12
189511,-0.15
189512,-0.06
189601,-0.09
189602,-0.07
189603,-0.20
189604,-0.24
189605,-0.09
189606,-0.08
189607,-0.04
189608,-0.05
189609,-0.06
189610,0.00
189611,-0.15
189612,0.07
189701,-0.18
189702,-0.10
189703,-0.17
189704,0.01
189705,-0.01
189706,-0.09
189707,-0.03
189708,-0.06
189709,-0.01
