"","type","lat","lon","sb_lat","sb_lon","feet","string_check","sb_name"
"1302","Starbucks",28.5466,-81.6953,28.546102,-81.708742,4319.58,"28.5466 -81.6953","28.546102 -81.708742"
"1303","Starbucks",28.492929,-81.430059,28.485649,-81.431034,2665.53,"28.492929 -81.430059","28.485649 -81.431034"
"1304","Starbucks",35.597898,-80.871582,35.594695,-80.868041,1570.92,"35.597898 -80.871582","35.594695 -80.868041"
"1305","Starbucks",35.974413,-78.541991,35.942808,-78.540942,11509.64,"35.974413 -78.541991","35.942808 -78.540942"
"1306","Starbucks",45.78225,-108.50377,45.769845,-108.530476,8179.26,"45.78225 -108.50377","45.769845 -108.530476"
"1307","Starbucks",61.1554,-149.9583,61.137251,-149.956031,6647.2,"61.1554 -149.9583","61.137251 -149.956031"
"1308","Starbucks",41.891396,-87.623865,41.891286,-87.623124,205.7,"41.891396 -87.623865","41.891286 -87.623124"
"1309","Starbucks",37.536018,-77.435128,37.543145,-77.436555,2627.98,"37.536018 -77.435128","37.543145 -77.436555"
"1310","Starbucks",32.733767,-117.200939,32.729495,-117.202342,1613.12,"32.733767 -117.200939","32.729495 -117.202342"
"1311","Starbucks",27.387176,-82.55243,27.389559,-82.513329,12718.34,"27.387176 -82.55243","27.389559 -82.513329"
"1312","Starbucks",34.264416,-119.214119,34.261863,-119.211839,1156.68,"34.264416 -119.214119","34.261863 -119.211839"
"1313","Starbucks",37.338166,-121.974929,37.328332,-121.966114,4403.51,"37.338166 -121.974929","37.328332 -121.966114"
"1314","Starbucks",34.13639,-118.189348,34.139093,-118.215373,7936.61,"34.13639 -118.189348","34.139093 -118.215373"
"1315","Starbucks",21.283951,-157.836051,21.284294,-157.83574,163.51,"21.283951 -157.836051","21.284294 -157.83574"
"1316","Starbucks",29.672802,-98.425773,29.655282,-98.446797,9229.63,"29.672802 -98.425773","29.655282 -98.446797"
"1317","Starbucks",31.798912,-106.396037,31.800087,-106.395187,502.45,"31.798912 -106.396037","31.800087 -106.395187"
"1318","Starbucks",39.999321,-82.891392,39.999301,-82.890987,113.7,"39.999321 -82.891392","39.999301 -82.890987"
"1319","Starbucks",39.999301,-82.890987,39.999321,-82.891392,113.7,"39.999301 -82.890987","39.999321 -82.891392"
"1320","Starbucks",40.641484,-73.788924,40.640249,-73.789447,472.78,"40.641484 -73.788924","40.640249 -73.789447"
"1321","Starbucks",37.78622,-122.410623,37.786916,-122.410827,260.22,"37.78622 -122.410623","37.786916 -122.410827"
"1322","Starbucks",21.331176,-157.923151,21.33314,-157.924055,776.95,"21.331176 -157.923151","21.33314 -157.924055"
"1323","Starbucks",41.87331,-87.62453,41.874699,-87.628938,1302.88,"41.87331 -87.62453","41.874699 -87.628938"
"1324","Starbucks",39.858702,-104.672929,39.858751,-104.674605,470.86,"39.858702 -104.672929","39.858751 -104.674605"
"1325","Starbucks",39.858751,-104.674605,39.858702,-104.672929,470.86,"39.858751 -104.674605","39.858702 -104.672929"
"1326","Starbucks",39.76711,-86.15813,39.768306,-86.157108,521.87,"39.76711 -86.15813","39.768306 -86.157108"
"1327","Starbucks",20.888245,-156.45126,20.88228,-156.454363,2411.79,"20.888245 -156.45126","20.88228 -156.454363"
"1328","Starbucks",34.057471,-118.415748,34.058851,-118.417272,682.13,"34.057471 -118.415748","34.058851 -118.417272"
"1329","Starbucks",40.642643,-73.791282,40.641484,-73.788924,778.8,"40.642643 -73.791282","40.641484 -73.788924"
"1330","Starbucks",28.411487,-81.468001,28.387449,-81.492745,11818.7,"28.411487 -81.468001","28.387449 -81.492745"
"1331","Starbucks",29.95249,-90.06774,29.951692,-90.067456,303.84,"29.95249 -90.06774","29.951692 -90.067456"
"1332","Starbucks",33.767531,-118.191749,33.770159,-118.192195,965.91,"33.767531 -118.191749","33.770159 -118.192195"
"1333","Starbucks",41.292461,-81.671212,41.292807,-81.684755,3723.88,"41.292461 -81.671212","41.292807 -81.684755"
"1334","Starbucks",30.2062,-85.858849,30.219832,-85.873441,6769.56,"30.2062 -85.858849","30.219832 -85.873441"
"1335","Starbucks",38.978935,-76.49292,38.977827,-76.486363,1907.3,"38.978935 -76.49292","38.977827 -76.486363"
"1336","Starbucks",40.7353,-74.165589,40.742667,-74.176245,3990.53,"40.7353 -74.165589","40.742667 -74.176245"
"1337","Starbucks",40.520985,-79.814065,40.52038,-79.852585,10711.75,"40.520985 -79.814065","40.52038 -79.852585"
"1338","Starbucks",41.292807,-81.684755,41.292461,-81.671212,3723.88,"41.292807 -81.684755","41.292461 -81.671212"
"1339","Starbucks",43.8023,-70.2676,43.724471,-70.232926,29813.18,"43.8023 -70.2676","43.724471 -70.232926"
"1340","Starbucks",43.887547,-70.32899,43.8023,-70.2676,35042.95,"43.887547 -70.32899","43.8023 -70.2676"
"1341","Starbucks",35.774788,-78.63939,35.788439,-78.647872,5569.96,"35.774788 -78.63939","35.788439 -78.647872"
"1342","Starbucks",41.774232,-87.744661,41.751256,-87.741917,8405.9,"41.774232 -87.744661","41.751256 -87.741917"
"1343","Starbucks",36.897656,-76.21535,36.897658,-76.215351,0.78,"36.897656 -76.21535","36.897658 -76.215351"
"1344","Starbucks",36.897658,-76.215351,36.897656,-76.21535,0.78,"36.897658 -76.215351","36.897656 -76.21535"
"1345","Starbucks",47.623882,-117.538754,47.625671,-117.535939,952.77,"47.623882 -117.538754","47.625671 -117.535939"
"1346","Starbucks",33.791309,-84.39857,33.793209,-84.399366,732.5,"33.791309 -84.39857","33.793209 -84.399366"
"1347","Starbucks",37.712284,-122.21304,37.71675,-122.208589,2074.28,"37.712284 -122.21304","37.71675 -122.208589"
"1348","Starbucks",47.625671,-117.535939,47.623882,-117.538754,952.77,"47.625671 -117.535939","47.623882 -117.538754"
"1349","Starbucks",35.139004,-90.052199,35.152761,-90.043567,5633.3,"35.139004 -90.052199","35.152761 -90.043567"
"1350","Starbucks",41.822895,-71.418661,41.824637,-71.413724,1487.88,"41.822895 -71.418661","41.824637 -71.413724"
"1351","Starbucks",43.086786,-79.059785,42.957979,-78.870023,69132.93,"43.086786 -79.059785","42.957979 -78.870023"
"1352","Starbucks",40.76722,-111.894327,40.767591,-111.891153,889.53,"40.76722 -111.894327","40.767591 -111.891153"
"1353","Starbucks",45.590895,-122.594619,45.589455,-122.592567,742.77,"45.590895 -122.594619","45.589455 -122.592567"
"1354","Starbucks",45.58838,-122.59481,45.588881,-122.593303,426.89,"45.58838 -122.59481","45.588881 -122.593303"
"1355","Starbucks",45.589455,-122.592567,45.588881,-122.593303,281.63,"45.589455 -122.592567","45.588881 -122.593303"
"1356","Starbucks",42.3471,-71.043673,42.347488,-71.040334,913.66,"42.3471 -71.043673","42.347488 -71.040334"
"1357","Starbucks",39.350234,-84.262025,39.3579,-84.2487,4689.96,"39.350234 -84.262025","39.3579 -84.2487"
"1358","Starbucks",25.783754,-80.26312,25.793342,-80.266348,3643.21,"25.783754 -80.26312","25.793342 -80.266348"
"1359","Starbucks",21.332297,-157.919689,21.331911,-157.920202,223.93,"21.332297 -157.919689","21.331911 -157.920202"
"1360","Starbucks",21.335024,-157.92367,21.33314,-157.924055,696.81,"21.335024 -157.92367","21.33314 -157.924055"
"1361","Starbucks",27.942248,-82.455063,27.938029,-82.459017,1995.72,"27.942248 -82.455063","27.938029 -82.459017"
