STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,subid.GEOID,subid.NAME,legit_geo,legit_name,legit_area
4,13,616700,4013616700,6167,Census Tract 6167,401392601,Phoenix,401392601,Phoenix,0.000240633
4,13,616800,4013616800,6168,Census Tract 6168,401392601,Phoenix,401392601,Phoenix,0.000240041
4,13,617500,4013617500,6175,Census Tract 6175,401392601,Phoenix,401392601,Phoenix,0.000317229
4,13,617600,4013617600,6176,Census Tract 6176,401392601,Phoenix,401390867,Deer Valley,0.000250056
4,13,617000,4013617000,6170,Census Tract 6170,401392601,Phoenix,401392601,Phoenix,0.000388682
4,13,617400,4013617400,6174,Census Tract 6174,401392601,Phoenix,401392601,Phoenix,0.000663102
4,13,615000,4013615000,6150,Census Tract 6150,401392601,Phoenix,401392601,Phoenix,0.001493379
4,13,617200,4013617200,6172,Census Tract 6172,401392601,Phoenix,401392601,Phoenix,9.33E-05
4,13,615100,4013615100,6151,Census Tract 6151,401392601,Phoenix,401392601,Phoenix,0.00021925
4,13,616900,4013616900,6169,Census Tract 6169,401392601,Phoenix,401392601,Phoenix,0.000267677
4,13,616100,4013616100,6161,Census Tract 6161,401392601,Phoenix,401390867,Deer Valley,0.000134912
4,13,615200,4013615200,6152,Census Tract 6152,401392601,Phoenix,401392601,Phoenix,0.002621305
4,12,980000,4012980000,9800,Census Tract 9800,402793672,Wellton,401292480,Parker,0.153292636
4,13,92719,4013092719,927.19,Census Tract 927.19,401392601,Phoenix,401392601,Phoenix,0.00025156
4,13,92801,4013092801,928.01,Census Tract 928.01,401392601,Phoenix,401392601,Phoenix,0.000121938
4,13,103220,4013103220,1032.2,Census Tract 1032.20,401392601,Phoenix,401392601,Phoenix,0.000212358
4,13,92721,4013092721,927.21,Census Tract 927.21,401392601,Phoenix,401392601,Phoenix,0.000246246
4,13,103219,4013103219,1032.19,Census Tract 1032.19,401392601,Phoenix,401392601,Phoenix,0.000280624
4,13,617700,4013617700,6177,Census Tract 6177,401392601,Phoenix,401390867,Deer Valley,0.000247526
4,13,103701,4013103701,1037.01,Census Tract 1037.01,401392601,Phoenix,401392601,Phoenix,0.000249747
4,13,617800,4013617800,6178,Census Tract 6178,401392601,Phoenix,401390867,Deer Valley,0.000275498
4,13,103702,4013103702,1037.02,Census Tract 1037.02,401392601,Phoenix,401392601,Phoenix,0.000458204
4,13,618800,4013618800,6188,Census Tract 6188,401392601,Phoenix,401392601,Phoenix,0.00012227
4,13,811300,4013811300,8113,Census Tract 8113,401390561,Chandler,401390561,Chandler,0.000120807
4,13,618200,4013618200,6182,Census Tract 6182,401392601,Phoenix,401392601,Phoenix,0.000126859
4,13,618600,4013618600,6186,Census Tract 6186,401392601,Phoenix,401392601,Phoenix,0.000223107
4,13,618100,4013618100,6181,Census Tract 6181,401392601,Phoenix,401392601,Phoenix,0.000263256
4,13,619000,4013619000,6190,Census Tract 6190,401392601,Phoenix,401392601,Phoenix,0.000125322
4,13,618500,4013618500,6185,Census Tract 6185,401392601,Phoenix,401392601,Phoenix,0.000146507
4,13,812300,4013812300,8123,Census Tract 8123,401390561,Chandler,401390561,Chandler,0.000247481
4,13,617300,4013617300,6173,Census Tract 6173,401392601,Phoenix,401392601,Phoenix,0.000113276
4,13,617900,4013617900,6179,Census Tract 6179,401392601,Phoenix,401390867,Deer Valley,0.000232193
4,13,812100,4013812100,8121,Census Tract 8121,401390561,Chandler,401390561,Chandler,0.000423032
4,13,112510,4013112510,1125.1,Census Tract 1125.10,401392601,Phoenix,401392601,Phoenix,0.000997704
4,13,812500,4013812500,8125,Census Tract 8125,401390561,Chandler,401390561,Chandler,0.000111313
4,13,812800,4013812800,8128,Census Tract 8128,401390561,Chandler,401390561,Chandler,0.000494677
4,13,812700,4013812700,8127,Census Tract 8127,401390561,Chandler,401390561,Chandler,0.000279114
4,13,812600,4013812600,8126,Census Tract 8126,401390561,Chandler,401390561,Chandler,0.000373594
4,13,812400,4013812400,8124,Census Tract 8124,401390561,Chandler,401390561,Chandler,0.001599585
4,13,615500,4013615500,6155,Census Tract 6155,401392601,Phoenix,401390867,Deer Valley,0.000254405
4,13,104402,4013104402,1044.02,Census Tract 1044.02,401392601,Phoenix,401392601,Phoenix,0.000250688
4,13,104702,4013104702,1047.02,Census Tract 1047.02,401392601,Phoenix,401392601,Phoenix,0.000140153
4,13,104701,4013104701,1047.01,Census Tract 1047.01,401392601,Phoenix,401392601,Phoenix,0.000103648
4,13,105003,4013105003,1050.03,Census Tract 1050.03,401392601,Phoenix,401392601,Phoenix,0.00103148
4,13,112511,4013112511,1125.11,Census Tract 1125.11,401392601,Phoenix,401392601,Phoenix,0.001071641
4,13,112513,4013112513,1125.13,Census Tract 1125.13,401392601,Phoenix,401392601,Phoenix,0.000753481
4,13,112512,4013112512,1125.12,Census Tract 1125.12,401392601,Phoenix,401392601,Phoenix,0.001134927
4,13,812900,4013812900,8129,Census Tract 8129,401390561,Chandler,401390561,Chandler,0.000184605
4,13,813000,4013813000,8130,Census Tract 8130,401390561,Chandler,401390561,Chandler,0.000565766
4,19,4334,4019004334,43.34,Census Tract 43.34,401990153,Arivaca,401990153,Arivaca,0.003939246
4,13,813100,4013813100,8131,Census Tract 8131,401390561,Chandler,401390561,Chandler,0.000252799
4,13,813700,4013813700,8137,Census Tract 8137,401390561,Chandler,401390561,Chandler,0.000249551
4,13,813300,4013813300,8133,Census Tract 8133,401390561,Chandler,401390561,Chandler,0.00049771
4,13,813500,4013813500,8135,Census Tract 8135,401390561,Chandler,401390561,Chandler,0.00050506
4,13,813400,4013813400,8134,Census Tract 8134,401390561,Chandler,401390561,Chandler,0.000504857
4,19,2201,4019002201,22.01,Census Tract 22.01,401993570,Tucson,401993570,Tucson,0.000325328
4,19,4117,4019004117,41.17,Census Tract 41.17,401993570,Tucson,401993570,Tucson,0.000453304
4,13,105004,4013105004,1050.04,Census Tract 1050.04,401392601,Phoenix,401392601,Phoenix,0.001249452
