"","type","lat","lon","dd_lat","dd_lon","feet"
"1906","Starbucks",33.306853,-112.053759,33.304773,-111.977545,23298.95
"1907","Starbucks",34.201648,-118.867262,33.225323,-117.392682,572111.73
"1908","Starbucks",46.048847,-118.347915,41.159306,-111.940207,2459601.17
"1909","Starbucks",47.059442,-122.766411,41.159306,-111.940207,3559977.49
"1910","Starbucks",29.705065,-95.425863,29.744898,-95.411119,15223.52
"1911","Starbucks",38.084578,-122.210204,34.891325,-116.999202,1922546.38
"1912","Starbucks",46.602825,-120.5168,41.159306,-111.940207,3005390.26
"1913","Starbucks",46.584077,-120.539392,41.159306,-111.940207,3005635.92
"1914","Starbucks",45.400969,-122.276843,41.159306,-111.940207,3153612.98
"1915","Starbucks",37.58261,-122.484004,34.891325,-116.999202,1890673.28
"1916","Starbucks",37.587901,-122.020106,34.891325,-116.999202,1776169.32
"1917","Starbucks",36.009312,-114.993143,36.039117,-115.029853,15348.61
"1918","Starbucks",32.763963,-117.114532,32.711667,-117.170458,25647.86
"1919","Starbucks",47.671382,-122.110006,41.159306,-111.940207,3558004.54
"1920","Starbucks",33.835137,-118.115422,33.225323,-117.392682,312659.32
"1921","Starbucks",32.133793,-111.008696,32.133587,-111.000008,2690.56
"1922","Starbucks",33.941095,-117.99423,33.225323,-117.392682,318447.82
"1923","Starbucks",33.023577,-96.883757,33.02078,-96.916491,10085.38
"1924","Starbucks",47.357019,-122.11329,41.159306,-111.940207,3489027.97
"1925","Starbucks",59.642343,-151.536481,41.159306,-111.940207,11171259.05
"1926","Starbucks",33.96097,-112.770814,33.637614,-112.424738,157801.45
"1927","Starbucks",45.579034,-122.334793,41.159306,-111.940207,3195563.41
"1928","Starbucks",32.251925,-110.838721,32.250474,-110.893153,16836.95
"1929","Starbucks",47.680503,-117.435703,41.159306,-111.940207,2775699.71
"1930","Starbucks",37.219817,-121.861124,34.891325,-116.999202,1668216.11
"1931","Starbucks",38.594414,-121.386656,34.891325,-116.999202,1862431.7
"1932","Starbucks",37.670847,-120.995675,34.891325,-116.999202,1552648.89
"1933","Starbucks",38.86779,-77.143715,38.851416,-77.125893,7830.88
"1934","Starbucks",38.453486,-121.370154,34.891325,-116.999202,1823076.7
"1935","Starbucks",44.057112,-121.30131,41.159306,-111.940207,2730440.57
"1936","Starbucks",46.972534,-123.81852,41.159306,-111.940207,3767031.07
"1937","Starbucks",38.816664,-77.275062,38.843819,-77.292343,11047.84
"1938","Starbucks",41.631423,-87.931615,41.631331,-87.930854,210.73
"1939","Starbucks",41.860611,-88.049675,41.85934,-88.059872,2816.16
"1940","Starbucks",42.15472,-87.983463,42.151905,-87.985277,1137.7
"1941","Starbucks",41.525142,-87.849997,41.517623,-87.849249,2747.47
"1942","Starbucks",34.427849,-118.534978,34.891325,-116.999202,491697.78
"1943","Starbucks",34.259272,-118.301617,34.891325,-116.999202,454574.93
"1944","Starbucks",34.344157,-119.080696,33.225323,-117.392682,654856.09
"1945","Starbucks",46.578311,-120.48904,41.159306,-111.940207,2994375.97
"1946","Starbucks",37.293705,-121.911078,34.891325,-116.999202,1694074.94
"1947","Starbucks",36.604656,-121.92067,34.891325,-116.999202,1587782.18
