STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,subid.GEOID,subid.NAME,legit_geo,legit_name,legit_area
4,23,966402,4023966402,9664.02,Census Tract 9664.02,402392295,Nogales,402392295,Nogales,2.36627e-4
4,13,61032,4013061032,610.32,Census Tract 610.32,401392601,Phoenix,401392601,Phoenix,2.26487e-4
4,13,61037,4013061037,610.37,Census Tract 610.37,401392601,Phoenix,401392601,Phoenix,2.51095e-4
4,13,61033,4013061033,610.33,Census Tract 610.33,401392601,Phoenix,401392601,Phoenix,2.49418e-4
4,13,61038,4013061038,610.38,Census Tract 610.38,401392601,Phoenix,401392601,Phoenix,2.52058e-4
4,13,61035,4013061035,610.35,Census Tract 610.35,401392601,Phoenix,401392601,Phoenix,2.48751e-4
4,13,61030,4013061030,610.3,Census Tract 610.30,401392601,Phoenix,401392601,Phoenix,3.57374e-4
4,13,61039,4013061039,610.39,Census Tract 610.39,401392601,Phoenix,401392601,Phoenix,0.001000927
4,13,61042,4013061042,610.42,Census Tract 610.42,401392601,Phoenix,401392601,Phoenix,2.07173e-4
4,13,61040,4013061040,610.4,Census Tract 610.40,401392601,Phoenix,401392601,Phoenix,1.20401e-4
4,13,420503,4013420503,4205.03,Census Tract 4205.03,401392601,Phoenix,401392601,Phoenix,1.29079e-4
4,13,421304,4013421304,4213.04,Census Tract 4213.04,401392601,Phoenix,401392601,Phoenix,2.25417e-4
4,13,61041,4013061041,610.41,Census Tract 610.41,401392601,Phoenix,401392601,Phoenix,1.2933e-4
4,13,71516,4013071516,715.16,Census Tract 715.16,401392601,Phoenix,401392601,Phoenix,2.3661e-4
4,13,117200,4013117200,1172,Census Tract 1172,401392601,Phoenix,401392601,Phoenix,6.42811e-4
4,13,61012,4013061012,610.12,Census Tract 610.12,401392601,Phoenix,401392601,Phoenix,9.86819e-4
4,13,61024,4013061024,610.24,Census Tract 610.24,401392601,Phoenix,401392601,Phoenix,0.001407243
4,13,71517,4013071517,715.17,Census Tract 715.17,401392601,Phoenix,401392601,Phoenix,2.33662e-4
4,13,612900,4013612900,6129,Census Tract 6129,401390867,Deer Valley,401390867,Deer Valley,2.40872e-4
4,13,420107,4013420107,4201.07,Census Tract 4201.07,401392601,Phoenix,401392601,Phoenix,7.98782e-4
4,13,613200,4013613200,6132,Census Tract 6132,401392601,Phoenix,401390867,Deer Valley,0.001010563
4,13,420108,4013420108,4201.08,Census Tract 4201.08,401392601,Phoenix,401392601,Phoenix,9.53793e-4
4,13,613400,4013613400,6134,Census Tract 6134,401392601,Phoenix,401390867,Deer Valley,3.80764e-4
4,13,61044,4013061044,610.44,Census Tract 610.44,401392601,Phoenix,401392601,Phoenix,0.003543538
4,13,61045,4013061045,610.45,Census Tract 610.45,401392601,Phoenix,401392601,Phoenix,0.003991579
4,13,71701,4013071701,717.01,Census Tract 717.01,401392601,Phoenix,401392601,Phoenix,1.87108e-4
4,13,61402,4013061402,614.02,Census Tract 614.02,401392601,Phoenix,401392601,Phoenix,2.23209e-4
4,13,61047,4013061047,610.47,Census Tract 610.47,401392601,Phoenix,401392601,Phoenix,2.41575e-4
4,13,71912,4013071912,719.12,Census Tract 719.12,401392601,Phoenix,401392601,Phoenix,1.64041e-4
4,13,71702,4013071702,717.02,Census Tract 717.02,401392601,Phoenix,401392601,Phoenix,3.36962e-4
